Descriptor,Model,R2,MAE
RDKit,KNN,0.8868330397369572,0.11805765604627552
ECFP_r2,MLP,0.7896832942312442,0.1483267595002855
RDKit,DT,0.681942379810148,0.16872906488559583
ECFP_r3,KNN,0.6772260952422204,0.18511137823554727
RDKit,LGBM,0.5404661698547764,0.2325367120626912
RDKit,ET,0.45424980449751806,0.22966180893047689
Mordred,LGBM,0.4526745420285234,0.2427829564593659
MACCS,ET,0.3567807152531336,0.28233431626433697
RDKit,BayesianRidge,0.19110830138988,0.27207341925927037
RDKit,XGB,0.09573013254142182,0.33761874697952415
ECFP_r2,RF,0.06032890832754623,0.3373661099134736
ECFP_r2,LGBM,0.045300443256361844,0.34552796411556796
ECFP_r2,ET,0.001680411750655253,0.31405428276630054
ECFP_r1,MLP,-0.06703420417187211,0.3406908480454751
MACCS,RF,-0.13758118718294376,0.37855288353360683
ECFP_r1,LGBM,-0.17801562602578214,0.38512781441716026
RDKit,GB,-0.19652715709465096,0.3943474532503775
MACCS,DT,-0.2133748743543582,0.34719243569976804
RDKit,CAT,-0.29145067179307205,0.42782131973522475
RDKit,MLP,-0.3203298590142247,0.4186066116101891
RDKit,RF,-0.44711884460563733,0.4247923908188967
ECFP_r2,KNN,-0.5087310570682122,0.4674735300167712
ECFP_r3,MLP,-0.5171715255445668,0.38055691460528374
ECFP_r3,LGBM,-0.6329398719222634,0.4909784938759949
ECFP_r3,GB,-0.6334719693455635,0.47430249547316417
Mordred,RF,-0.6945748457919196,0.4751332103287035
MACCS,CAT,-0.7234856507355312,0.48085888406263855
MACCS,XGB,-0.7419098169341278,0.4480453839801985
Mordred,KNN,-0.7902415645979644,0.520044117898351
Mordred,CAT,-0.8114394828887721,0.5069205200778253
Mordred,ET,-0.818419628882767,0.4468005920168963
ECFP_r2,CAT,-0.869275891542312,0.5275150887084725
RDKit,Ridge,-0.9060326452700831,0.5124068807237077
MACCS,BayesianRidge,-0.9083143328439043,0.488041615327934
Mordred,GB,-0.9167827934538053,0.45846638680185137
MACCS,LGBM,-1.0036733171411378,0.45711306781522676
Mordred,BayesianRidge,-1.1198297222457883,0.499661976452598
MACCS,KNN,-1.1306364992303592,0.408692038061271
MACCS,MLP,-1.3701226800066824,0.5274030688649827
MACCS,GB,-1.387642219353482,0.5633532269792023
ECFP_r3,ET,-1.485125912936338,0.5226546885138084
ECFP_r3,XGB,-1.6466170715035982,0.5967781304379176
ECFP_r3,CAT,-1.6758122176452868,0.6201911018579835
ECFP_r2,BayesianRidge,-1.8702950843739705,0.6223085183644628
ECFP_r3,RF,-1.9037536859572652,0.6690076107216119
ECFP_r1,XGB,-2.0133295544074934,0.5413949864913892
RDKit,Huber,-2.2487142165892062,0.6253222679624278
ECFP_r3,BayesianRidge,-2.2894562733988635,0.6861066565746599
Mordred,XGB,-2.365344977202411,0.5547992721184983
ECFP_r2,Ridge,-2.51477193831513,0.5359241905341249
ECFP_r2,GB,-2.6435934462805886,0.7635697807723817
Mordred,MLP,-2.909217302549442,0.6410819691018983
ECFP_r1,RF,-2.9142783509187735,0.7179976686743677
Mordred,DT,-3.0607770101751353,0.6588521731710706
ECFP_r1,KNN,-3.1809198144495383,0.748460877351164
ECFP_r1,ET,-3.6018784835383713,0.6851238112452055
ECFP_r1,BayesianRidge,-3.6440627716439353,0.8260660936159272
ECFP_r3,Huber,-3.7987817207986545,0.8440154417860531
ECFP_r2,XGB,-4.039045431259004,0.8333240150471399
RDKit,SVR,-4.0534262955413665,0.8580183870854887
Mordred,SVR,-4.326997589478989,0.9015379280784164
ECFP_r2,Huber,-4.410088694568692,0.8496430409248432
ECFP_r1,CAT,-4.486509883853914,0.9115302912985026
MACCS,ElasticNet,-4.626171720832128,0.864072541400043
Mordred,ElasticNet,-4.626171720832128,0.864072541400043
Mordred,Lasso,-4.626171720832128,0.864072541400043
ECFP_r2,ElasticNet,-4.626171720832128,0.864072541400043
RDKit,Lasso,-4.626171720832128,0.864072541400043
RDKit,ElasticNet,-4.626171720832128,0.864072541400043
ECFP_r2,Lasso,-4.626171720832128,0.864072541400043
ECFP_r3,ElasticNet,-4.626171720832128,0.864072541400043
ECFP_r3,Lasso,-4.626171720832128,0.864072541400043
MACCS,Lasso,-4.626171720832128,0.864072541400043
ECFP_r1,ElasticNet,-4.626171720832128,0.864072541400043
ECFP_r1,Lasso,-4.626171720832128,0.864072541400043
MACCS,SVR,-4.90509823541583,0.9233759183758824
ECFP_r1,GB,-5.478417855754092,1.0120705712113347
ECFP_r2,SVR,-5.723675274185855,0.9787757009278908
Mordred,Huber,-5.9623888298883,0.8103667265451486
ECFP_r1,DT,-6.029082579852997,0.9280138546107773
ECFP_r3,DT,-6.203972983312438,0.8933740308951317
ECFP_r3,SVR,-6.23425981242082,1.0181831355103756
ECFP_r3,Ridge,-6.242421542882681,1.0612617207147372
ECFP_r2,DT,-7.283176637497007,0.9698016664040254
ECFP_r1,Ridge,-7.418108309087545,1.1401759387666996
ECFP_r1,SVR,-7.669137489353517,1.1411736141300488
Mordred,Ridge,-10.31957772748433,1.13006103517118
ECFP_r1,Huber,-10.494526531891283,1.3366078117182378
MACCS,Ridge,-12.098689618616348,1.4034473424346126
MACCS,Huber,-12.733730917271963,1.4660484971317937
